timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476252143,1572864,131072,196608,65536,0,0,0,0
1476252145,1573133,13500528,14483494,8126490,16187407,11665416,8454147,2752513
1476252146,1572864,0,0,0,65536,0,65536,0
1476252147,1572864,0,0,0,0,0,0,0
1476252148,1572864,1703936,458752,0,131072,131072,65536,65536
1476252149,1572887,4784130,1114112,14876672,3342336,8257536,7208960,7208960
1476252150,1572922,7405578,0,0,0,0,0,0
1476252151,1573349,12910715,6815773,8519707,2818055,720935,5701655,7602185
1476252152,1572873,7667722,13303822,15204365,7929893,3080246,14090291,2031641
1476252153,1572935,14811236,4128785,7667712,0,0,0,0
1476252154,1573194,9895970,3801096,1179652,458768,5111866,9043987,1835026
1476252155,1573029,3735680,15466524,15466503,2228265,13500467,2490413,14614546
1476252156,1573843,3408218,11731017,1441885,8978432,0,0,0
1476252157,1574700,5440412,13631599,14155842,7143722,262226,6946846,8126477
1476252158,1578189,15597748,4128826,10485794,7077917,5308507,9175108,13172808
1476252159,1577891,14158129,3604830,13304037,3801522,6423005,0,0
1476252160,1575290,16581725,16253601,16384389,16384436,1311293,5833105,8847879
1476252161,1574642,6553746,4653101,15400991,5570577,851976,16318472,5111811
1476252162,1572864,0,0,0,0,0,0,0
1476252163,1573058,9371667,10289208,13565955,851976,524294,131076,12386304
1476252165,1578404,3081374,12386382,14287252,16056606,6226124,12124208,7667780
1476252166,1575793,3998067,8257547,13041668,15400981,3080215,8519684,12451840
1476252167,1573888,0,0,0,0,0,0,0
1476252168,1573968,1769558,6225992,4849733,720912,8257550,8454150,11665424
1476252169,1578967,15403588,13042518,8454838,263847,10027916,14745720,6160489
1476252170,1576273,15664237,0,0,0,0,0,0
1476252171,1575187,5244154,10813589,1245403,10617168,12386586,14745703,10420492
1476252172,1577826,7209373,5505108,5242953,13828246,15859977,11141159,9699344
1476252173,1580625,11145036,3801544,7012352,0,0,0,0
1476252174,1575422,2953082,3080971,8783178,11207919,3277984,14286995,8060985
1476252175,1577476,8786131,11338468,14876912,11338285,2621844,14876916,7209044
1476252176,1576113,11468881,12583162,9044112,14811136,0,0,0
1476252177,1576965,9896543,13173267,9502762,16187428,11272288,10944587,393276
1476252178,1579939,10289672,15269952,16056356,5963939,5374078,9699352,15794191
1476252179,1573897,15597909,7012400,2687133,4259911,15925304,0,0
1476252180,1575678,852207,12713993,589905,2949158,15138837,16711698,1310739
1476252181,1573718,15073361,10616946,4653125,393253,16449547,3276815,11599908
1476252182,1576713,5309743,3146808,4456570,3801611,14221448,12845135,7929856
1476252183,1576807,6029490,131266,7209053,9044036,9568348,8060994,983048
1476252185,1576307,9896015,589849,15597591,7274508,7864329,15138819,524289
1476252186,1579641,5246463,2622192,65926,10224145,13763303,14746465,328169
1476252187,1575424,0,0,0,0,0,0,0
1476252188,1578970,14288359,16056481,7340140,4718649,8388665,131133,16449605
1476252189,1575193,15335520,2097196,5963801,14680082,3735564,7405574,14483461
1476252190,1576604,15925745,0,0,0,0,0,0
1476252191,1575627,11796621,2949201,7208999,15401036,4980781,12910629,13434911
1476252192,1582139,11601574,7864966,3604811,12714144,9830488,1769631,9044133
1476252193,1575707,5571302,9371720,327680,0,0,0,0
1476252194,1578939,15401511,10420485,6553768,5570999,205,11468850,10027070
1476252195,1576125,3407923,15,12124205,11141128,10747914,15335427,12582912
1476252196,1573060,3145847,8454213,12517411,1114112,0,0,0
1476252197,1575868,14024715,9633799,5439497,1638405,10289157,3342337,2228225
1476252198,1573976,917860,327745,655435,10747969,458770,6619147,11272203
1476252199,1573955,131917,14155798,11665558,8257759,13041992,0,0
1476252200,1574089,1376602,12714040,11993113,4194386,15204408,13893641,7536642
